i,time,pos,duration
2348,2018-03-23 04:03:22.148048000,P243,0.98
2349,2018-03-23 04:03:32.147620000,P243,1.91
2350,2018-03-23 04:03:42.148192000,P243,1.88
2351,2018-03-23 04:03:52.147763900,P243,1.9
2352,2018-03-23 04:04:02.148335900,P243,0.98
2353,2018-03-23 04:04:12.147907800,P243,1.88
2354,2018-03-23 04:04:22.149479900,P243,2.32
2355,2018-03-23 04:04:32.147051700,P243,1.9
2356,2018-03-23 04:04:42.147623700,P243,1.9
2357,2018-03-23 04:04:52.147195700,P243,1.93
2358,2018-03-23 04:05:02.147767700,P243,0.98
2359,2018-03-23 04:05:12.147339600,P243,0.94
2360,2018-03-23 04:05:22.146911600,P243,1.88
2361,2018-03-23 04:05:32.146483500,P243,2.12
2362,2018-03-23 04:05:42.148055600,P243,1.88
2363,2018-03-23 04:05:52.147627500,P243,1.86
2364,2018-03-23 04:06:02.147199400,P243,2.13
2365,2018-03-23 04:06:12.352783200,P1,1.79
2366,2018-03-23 04:06:15.151943300,P2,2.19
2367,2018-03-23 04:06:18.357126600,P3,2.89
2368,2018-03-23 04:06:22.441360200,P4,1.51
2369,2018-03-23 04:06:24.928502500,P5,1.57
2370,2018-03-23 04:06:27.452646800,P6,2.41
2371,2018-03-23 04:06:30.827839900,P7,2.41
2372,2018-03-23 04:06:34.214033600,P8,1.47
2373,2018-03-23 04:06:36.670174000,P9,1.52
2374,2018-03-23 04:06:39.125314500,P10,2.64
2375,2018-03-23 04:06:42.757522200,P11,2.73
2376,2018-03-23 04:06:46.456733800,P12,1.53
2377,2018-03-23 04:06:48.980878200,P13,2.25
2378,2018-03-23 04:06:52.270066300,P14,1.95
2379,2018-03-23 04:06:55.141230500,P15,2.34
2380,2018-03-23 04:06:58.453420000,P16,1.47
2381,2018-03-23 04:07:00.899559900,P17,1.98
2382,2018-03-23 04:07:03.829727500,P18,1.44
2383,2018-03-23 04:07:06.257866400,P19,1.95
2384,2018-03-23 04:07:09.362043900,P20,2.0
2385,2018-03-23 04:07:12.376216300,P21,2.39
2386,2018-03-23 04:07:15.748409200,P22,2.16
2387,2018-03-23 04:07:18.852586700,P23,2.18
2388,2018-03-23 04:07:22.020767900,P24,1.51
2389,2018-03-23 04:07:24.746923900,P25,2.39
2390,2018-03-23 04:07:28.086114900,P26,1.93
2391,2018-03-23 04:07:30.976280200,P27,1.99
2392,2018-03-23 04:07:33.894447100,P28,1.97
2393,2018-03-23 04:07:36.792612800,P29,2.19
2394,2018-03-23 04:07:39.992795900,P30,2.01
2395,2018-03-23 04:07:42.994967600,P31,1.49
2396,2018-03-23 04:07:45.497110700,P32,2.18
2397,2018-03-23 04:07:48.618289200,P33,1.48
2398,2018-03-23 04:07:51.078429900,P34,1.94
2399,2018-03-23 04:07:53.968595300,P35,2.0
2400,2018-03-23 04:07:56.942765400,P36,1.5
2401,2018-03-23 04:07:59.410906500,P37,2.43
2402,2018-03-23 04:08:02.830102100,P38,1.94
2403,2018-03-23 04:08:05.728267900,P39,1.49
2404,2018-03-23 04:08:08.188408600,P40,1.97
2405,2018-03-23 04:08:11.357589900,P41,1.49
2406,2018-03-23 04:08:13.808730000,P42,1.71
2407,2018-03-23 04:08:16.549886800,P43,1.51
2408,2018-03-23 04:08:19.020028100,P44,2.22
2409,2018-03-23 04:08:22.209210500,P45,1.74
2410,2018-03-23 04:08:24.920365600,P46,1.97
2411,2018-03-23 04:08:27.833532200,P47,1.73
2412,2018-03-23 04:08:30.525686200,P48,2.18
2413,2018-03-23 04:08:33.696867600,P49,3.07
2414,2018-03-23 04:08:37.723097900,P50,1.98
2415,2018-03-23 04:08:40.643264900,P51,1.51
2416,2018-03-23 04:08:43.116406400,P52,1.96
2417,2018-03-23 04:08:46.030573000,P53,1.99
2418,2018-03-23 04:08:49.032744700,P54,1.55
2419,2018-03-23 04:08:51.539888100,P55,1.94
2420,2018-03-23 04:08:54.469055700,P56,2.89
2421,2018-03-23 04:08:58.506286600,P57,1.54
2422,2018-03-23 04:09:01.033431100,P58,1.53
2423,2018-03-23 04:09:03.546574900,P59,1.52
2424,2018-03-23 04:09:06.002715400,P60,2.39
2425,2018-03-23 04:09:09.332905800,P61,1.71
2426,2018-03-23 04:09:12.003058600,P62,1.53
2427,2018-03-23 04:09:14.675211400,P63,1.5
2428,2018-03-23 04:09:17.124351500,P64,1.47
2429,2018-03-23 04:09:19.603493300,P65,1.98
2430,2018-03-23 04:09:22.542661400,P66,1.94
2431,2018-03-23 04:09:25.412825600,P67,1.95
2432,2018-03-23 04:09:28.332992600,P68,1.98
2433,2018-03-23 04:09:31.292161800,P69,1.5
2434,2018-03-23 04:09:33.771303600,P70,1.48
2435,2018-03-23 04:09:36.184441700,P71,1.49
2436,2018-03-23 04:09:38.646582500,P72,1.73
2437,2018-03-23 04:09:41.387739300,P73,1.96
2438,2018-03-23 04:09:44.485916500,P74,1.48
2439,2018-03-23 04:09:46.977059000,P75,2.15
2440,2018-03-23 04:09:50.083236600,P76,1.96
2441,2018-03-23 04:09:52.970401800,P77,1.97
2442,2018-03-23 04:09:55.902569500,P78,1.49
2443,2018-03-23 04:09:58.350709500,P79,1.96
2444,2018-03-23 04:10:01.292877800,P80,1.69
2445,2018-03-23 04:10:04.006033000,P81,2.41
2446,2018-03-23 04:10:07.363225000,P82,2.37
2447,2018-03-23 04:10:10.664413800,P83,2.41
2448,2018-03-23 04:10:14.034606600,P84,2.62
2449,2018-03-23 04:10:17.596810300,P85,2.43
2450,2018-03-23 04:10:20.992004500,P86,1.51
2451,2018-03-23 04:10:23.436144300,P87,2.16
2452,2018-03-23 04:10:26.569323500,P88,1.76
2453,2018-03-23 04:10:29.257477300,P89,1.51
2454,2018-03-23 04:10:31.950631300,P90,1.49
2455,2018-03-23 04:10:34.385770600,P91,1.94
2456,2018-03-23 04:10:37.315938200,P92,1.93
2457,2018-03-23 04:10:40.220104300,P93,1.75
2458,2018-03-23 04:10:42.941259900,P94,2.15
2459,2018-03-23 04:10:46.043437400,P95,1.93
2460,2018-03-23 04:10:48.937602900,P96,1.5
2461,2018-03-23 04:10:51.371742100,P97,2.16
2462,2018-03-23 04:10:54.470919400,P98,1.97
2463,2018-03-23 04:10:57.428088500,P99,1.95
2464,2018-03-23 04:11:00.303253000,P100,1.95
2465,2018-03-23 04:11:03.401430200,P101,2.21
2466,2018-03-23 04:11:06.606613500,P102,1.49
2467,2018-03-23 04:11:09.035752500,P103,1.51
2468,2018-03-23 04:11:11.538895600,P104,1.96
2469,2018-03-23 04:11:14.448062000,P105,2.16
2470,2018-03-23 04:11:17.577241000,P106,2.23
2471,2018-03-23 04:11:20.756422800,P107,1.96
2472,2018-03-23 04:11:23.663589100,P108,2.59
2473,2018-03-23 04:11:27.195791200,P109,1.96
2474,2018-03-23 04:11:30.125958800,P110,1.5
2475,2018-03-23 04:11:32.564098200,P111,1.78
2476,2018-03-23 04:11:35.330256400,P112,2.42
2477,2018-03-23 04:11:38.758452500,P113,1.52
2478,2018-03-23 04:11:41.274596400,P114,1.51
2479,2018-03-23 04:11:43.749738000,P115,2.22
2480,2018-03-23 04:11:46.986923100,P116,1.51
2481,2018-03-23 04:11:49.632074400,P117,1.48
2482,2018-03-23 04:11:52.093215200,P118,1.97
2483,2018-03-23 04:11:55.077385900,P119,1.5
2484,2018-03-23 04:11:57.583529200,P120,2.42
2485,2018-03-23 04:12:00.967722800,P121,1.49
2486,2018-03-23 04:12:03.415862800,P122,1.49
2487,2018-03-23 04:12:05.862002700,P123,1.96
2488,2018-03-23 04:12:08.842173200,P124,1.97
2489,2018-03-23 04:12:11.787341600,P125,1.99
2490,2018-03-23 04:12:14.792513500,P126,1.71
2491,2018-03-23 04:12:17.473666900,P127,2.12
2492,2018-03-23 04:12:20.572844100,P128,1.47
2493,2018-03-23 04:12:23.006983400,P129,2.68
2494,2018-03-23 04:12:26.677193300,P130,1.52
2495,2018-03-23 04:12:29.189337000,P131,1.51
2496,2018-03-23 04:12:31.704480800,P132,2.05
2497,2018-03-23 04:12:34.711652800,P133,2.41
2498,2018-03-23 04:12:38.095846400,P134,2.17
2499,2018-03-23 04:12:41.214024800,P135,2.43
2500,2018-03-23 04:12:44.601218500,P136,2.19
2501,2018-03-23 04:12:47.777400200,P137,1.52
2502,2018-03-23 04:12:50.274543000,P138,1.47
2503,2018-03-23 04:12:52.680680600,P139,2.46
2504,2018-03-23 04:12:56.107876600,P140,1.72
2505,2018-03-23 04:12:58.787029900,P141,2.45
2506,2018-03-23 04:13:02.222226400,P142,1.53
2507,2018-03-23 04:13:04.700368100,P143,1.5
2508,2018-03-23 04:13:07.344519300,P144,1.51
2509,2018-03-23 04:13:09.778658600,P145,1.5
2510,2018-03-23 04:13:12.227798600,P146,1.93
2511,2018-03-23 04:13:15.144965500,P147,1.93
2512,2018-03-23 04:13:18.033130700,P148,1.5
2513,2018-03-23 04:13:20.525273200,P149,1.47
2514,2018-03-23 04:13:22.965412800,P150,2.17
2515,2018-03-23 04:13:26.156595300,P151,2.92
2516,2018-03-23 04:13:30.042817600,P152,2.21
2517,2018-03-23 04:13:33.219999300,P153,2.18
2518,2018-03-23 04:13:36.399181200,P154,1.5
2519,2018-03-23 04:13:39.074334200,P155,1.95
2520,2018-03-23 04:13:42.007501900,P156,1.93
2521,2018-03-23 04:13:44.915668300,P157,1.52
2522,2018-03-23 04:13:47.447813100,P158,1.47
2523,2018-03-23 04:13:49.859951100,P159,1.94
2524,2018-03-23 04:13:52.739115800,P160,1.54
2525,2018-03-23 04:13:55.247259200,P161,1.99
2526,2018-03-23 04:13:58.177426800,P162,1.48
2527,2018-03-23 04:14:00.618566400,P163,2.19
2528,2018-03-23 04:14:03.767746600,P164,1.5
2529,2018-03-23 04:14:06.270889700,P165,1.51
2530,2018-03-23 04:14:08.936042200,P166,1.98
2531,2018-03-23 04:14:11.858209300,P167,1.94
2532,2018-03-23 04:14:14.720373000,P168,1.51
2533,2018-03-23 04:14:17.200514900,P169,1.97
2534,2018-03-23 04:14:20.171684800,P170,1.5
2535,2018-03-23 04:14:22.650826600,P171,2.24
2536,2018-03-23 04:14:25.822008000,P172,2.9
2537,2018-03-23 04:14:29.658227400,P173,1.48
2538,2018-03-23 04:14:32.150370000,P174,1.99
2539,2018-03-23 04:14:35.101538700,P175,2.44
2540,2018-03-23 04:14:38.526734700,P176,1.52
2541,2018-03-23 04:14:41.164885600,P177,1.49
2542,2018-03-23 04:14:43.587024100,P178,1.96
2543,2018-03-23 04:14:46.515191600,P179,1.55
2544,2018-03-23 04:14:49.027335300,P180,1.97
2545,2018-03-23 04:14:51.941501900,P181,1.98
2546,2018-03-23 04:14:54.861669000,P182,1.51
2547,2018-03-23 04:14:57.388813500,P183,3.39
2548,2018-03-23 04:15:01.757063400,P184,2.82
2549,2018-03-23 04:15:05.536279500,P185,1.51
2550,2018-03-23 04:15:07.985419600,P186,2.4
2551,2018-03-23 04:15:11.326610700,P187,1.98
2552,2018-03-23 04:15:14.264778800,P188,1.97
2553,2018-03-23 04:15:17.169944900,P189,4.26
2554,2018-03-23 04:15:22.405244400,P190,2.14
2555,2018-03-23 04:15:25.508421900,P191,2.19
2556,2018-03-23 04:15:28.824611500,P192,2.88
2557,2018-03-23 04:15:32.696833000,P193,2.57
2558,2018-03-23 04:15:36.213034100,P194,2.41
2559,2018-03-23 04:15:39.625229300,P195,1.55
2560,2018-03-23 04:15:42.124372200,P196,1.94
2561,2018-03-23 04:15:45.023538100,P197,1.96
2562,2018-03-23 04:15:47.935704600,P198,1.55
2563,2018-03-23 04:15:50.474849900,P199,1.94
2564,2018-03-23 04:15:53.447019900,P200,1.47
2565,2018-03-23 04:15:55.905160500,P201,1.97
2566,2018-03-23 04:15:58.784325100,P202,2.17
2567,2018-03-23 04:16:01.935505400,P203,1.98
2568,2018-03-23 04:16:04.946677600,P204,1.94
2569,2018-03-23 04:16:07.905846900,P205,1.51
2570,2018-03-23 04:16:10.376988200,P206,1.53
2571,2018-03-23 04:16:12.859130200,P207,1.48
2572,2018-03-23 04:16:15.558284500,P208,2.19
2573,2018-03-23 04:16:18.714465100,P209,2.22
2574,2018-03-23 04:16:21.939649500,P210,2.18
2575,2018-03-23 04:16:25.104830600,P211,2.85
2576,2018-03-23 04:16:28.939049900,P212,1.51
2577,2018-03-23 04:16:31.569200300,P213,2.19
2578,2018-03-23 04:16:34.760382800,P214,1.5
2579,2018-03-23 04:16:37.240524700,P215,1.76
2580,2018-03-23 04:16:39.948679600,P216,1.49
2581,2018-03-23 04:16:42.413820600,P217,1.97
2582,2018-03-23 04:16:45.321986900,P218,1.53
2583,2018-03-23 04:16:47.843131100,P219,2.0
2584,2018-03-23 04:16:50.855303400,P220,2.17
2585,2018-03-23 04:16:53.989482700,P221,1.49
2586,2018-03-23 04:16:56.455623700,P222,1.5
2587,2018-03-23 04:16:58.890763000,P223,1.95
2588,2018-03-23 04:17:01.975939500,P224,1.96
2589,2018-03-23 04:17:04.955109900,P225,1.96
2590,2018-03-23 04:17:07.861276100,P226,1.48
2591,2018-03-23 04:17:10.347418300,P227,2.4
2592,2018-03-23 04:17:13.736612200,P228,1.95
2593,2018-03-23 04:17:16.883792200,P229,1.74
2594,2018-03-23 04:17:19.608948000,P230,2.36
2595,2018-03-23 04:17:22.909136800,P231,2.23
2596,2018-03-23 04:17:26.062317100,P232,1.48
2597,2018-03-23 04:17:28.574460800,P233,1.99
2598,2018-03-23 04:17:31.571632300,P234,2.91
2599,2018-03-23 04:17:35.504857200,P235,2.24
2600,2018-03-23 04:17:38.724041400,P236,1.49
2601,2018-03-23 04:17:41.212183700,P237,3.14
2602,2018-03-23 04:17:45.289416900,P238,1.47
2603,2018-03-23 04:17:47.786559700,P239,1.52
2604,2018-03-23 04:17:50.290702900,P240,1.47
2605,2018-03-23 04:17:52.767844600,P241,2.18
2606,2018-03-23 04:17:55.956027000,P242,1.49
2607,2018-03-23 04:17:58.415167600,P243,2.38
2608,2018-03-23 04:18:02.051375600,P243,1.39
2609,2018-03-23 04:18:12.048947400,P243,0.97
2610,2018-03-23 04:18:22.049519400,P243,2.13
2611,2018-03-23 04:18:32.051091500,P243,1.86
2612,2018-03-23 04:18:42.047663300,P243,0.99
2613,2018-03-23 04:18:52.047235200,P243,0.99
2614,2018-03-23 04:19:02.047807200,P243,0.99
2615,2018-03-23 04:19:12.047379100,P243,1.44
2616,2018-03-23 04:19:22.048951200,P243,0.97
2617,2018-03-23 04:19:32.048523100,P243,0.97
2618,2018-03-23 04:19:42.050095200,P243,0.97
2619,2018-03-23 04:19:52.048667100,P243,0.98
2620,2018-03-23 04:20:02.048239000,P243,0.98
2621,2018-03-23 04:20:12.048811000,P243,0.98
2622,2018-03-23 04:20:22.048383000,P243,0.97
2623,2018-03-23 04:20:32.047954900,P243,0.97
2624,2018-03-23 04:20:42.048526900,P243,0.97
2625,2018-03-23 04:20:52.048098900,P243,0.97
2626,2018-03-23 04:21:02.047670800,P243,0.97
2627,2018-03-23 04:21:12.310257800,P1,2.98
2628,2018-03-23 04:21:16.269484200,P2,1.51
2629,2018-03-23 04:21:18.814629800,P3,1.49
2630,2018-03-23 04:21:21.300772000,P4,2.23
2631,2018-03-23 04:21:24.508955500,P5,1.5
2632,2018-03-23 04:21:27.021099200,P6,1.57
2633,2018-03-23 04:21:29.585245900,P7,1.52
2634,2018-03-23 04:21:32.090389100,P8,1.48
2635,2018-03-23 04:21:34.525528400,P9,1.77
2636,2018-03-23 04:21:37.244684000,P10,1.5
2637,2018-03-23 04:21:39.964839500,P11,2.7
2638,2018-03-23 04:21:43.615048300,P12,1.74
2639,2018-03-23 04:21:46.366205700,P13,3.08
2640,2018-03-23 04:21:50.451439300,P14,1.53
2641,2018-03-23 04:21:52.957582700,P15,1.94
2642,2018-03-23 04:21:56.027758300,P16,1.48
2643,2018-03-23 04:21:58.485898900,P17,2.42
2644,2018-03-23 04:22:01.827090000,P18,2.0
2645,2018-03-23 04:22:04.772258400,P19,1.49
2646,2018-03-23 04:22:07.251400200,P20,3.34
2647,2018-03-23 04:22:11.554646400,P21,2.18
2648,2018-03-23 04:22:14.659824000,P22,2.18
2649,2018-03-23 04:22:17.842006000,P23,1.53
2650,2018-03-23 04:22:20.355149700,P24,1.53
2651,2018-03-23 04:22:22.864293200,P25,2.44
2652,2018-03-23 04:22:26.440497800,P26,1.95
2653,2018-03-23 04:22:29.352664400,P27,1.72
2654,2018-03-23 04:22:32.070819800,P28,2.19
2655,2018-03-23 04:22:35.234000800,P29,1.5
2656,2018-03-23 04:22:37.690141200,P30,2.37
2657,2018-03-23 04:22:41.079335100,P31,2.1
2658,2018-03-23 04:22:44.207514000,P32,1.96
2659,2018-03-23 04:22:47.169683400,P33,2.61
2660,2018-03-23 04:22:50.769889400,P34,1.51
2661,2018-03-23 04:22:53.300034100,P35,1.96
2662,2018-03-23 04:22:56.233201800,P36,1.92
2663,2018-03-23 04:22:59.314378100,P37,2.46
2664,2018-03-23 04:23:02.774576000,P38,1.94
2665,2018-03-23 04:23:05.684742400,P39,2.22
2666,2018-03-23 04:23:08.889925800,P40,1.95
2667,2018-03-23 04:23:11.815093100,P41,2.18
2668,2018-03-23 04:23:14.993274900,P42,1.52
2669,2018-03-23 04:23:17.506418600,P43,2.47
2670,2018-03-23 04:23:20.941615100,P44,2.19
2671,2018-03-23 04:23:24.106796100,P45,2.62
2672,2018-03-23 04:23:27.713002400,P46,1.8
2673,2018-03-23 04:23:30.496161600,P47,1.97
2674,2018-03-23 04:23:33.420328800,P48,1.76
2675,2018-03-23 04:23:36.170486100,P49,2.18
2676,2018-03-23 04:23:39.323666500,P50,1.5
2677,2018-03-23 04:23:41.775806700,P51,2.19
2678,2018-03-23 04:23:44.938987700,P52,1.76
2679,2018-03-23 04:23:47.653142900,P53,1.72
2680,2018-03-23 04:23:50.340296600,P54,1.54
2681,2018-03-23 04:23:52.833439200,P55,2.43
2682,2018-03-23 04:23:56.244634300,P56,1.75
2683,2018-03-23 04:23:58.919787300,P57,1.53
2684,2018-03-23 04:24:01.512935600,P58,2.45
2685,2018-03-23 04:24:04.942131800,P59,1.96
2686,2018-03-23 04:24:07.866299000,P60,1.99
2687,2018-03-23 04:24:10.810467400,P61,2.62
2688,2018-03-23 04:24:14.425674200,P62,1.49
2689,2018-03-23 04:24:17.067825300,P63,1.97
2690,2018-03-23 04:24:20.001993100,P64,1.48
2691,2018-03-23 04:24:22.483135100,P65,1.51
2692,2018-03-23 04:24:24.944275800,P66,1.49
2693,2018-03-23 04:24:27.447419000,P67,2.17
2694,2018-03-23 04:24:30.591598800,P68,1.92
2695,2018-03-23 04:24:33.592770500,P69,1.48
2696,2018-03-23 04:24:36.067912100,P70,1.49
2697,2018-03-23 04:24:38.553054200,P71,1.47
2698,2018-03-23 04:24:40.946191100,P72,1.94
2699,2018-03-23 04:24:43.852357300,P73,1.95
2700,2018-03-23 04:24:46.768524100,P74,2.16
2701,2018-03-23 04:24:49.901703300,P75,1.48
2702,2018-03-23 04:24:52.355843700,P76,1.95
2703,2018-03-23 04:24:55.242008800,P77,1.92
2704,2018-03-23 04:24:58.149175000,P78,1.92
2705,2018-03-23 04:25:01.049340900,P79,1.43
2706,2018-03-23 04:25:03.768496400,P80,1.63
2707,2018-03-23 04:25:06.365645000,P81,1.94
2708,2018-03-23 04:25:09.262810700,P82,1.48
2709,2018-03-23 04:25:11.696949900,P83,1.92
2710,2018-03-23 04:25:14.577114700,P84,2.15
2711,2018-03-23 04:25:17.866302800,P85,1.69
2712,2018-03-23 04:25:20.536455500,P86,1.49
2713,2018-03-23 04:25:22.989595800,P87,2.19
2714,2018-03-23 04:25:26.162777300,P88,1.94
2715,2018-03-23 04:25:29.073943800,P89,2.39
2716,2018-03-23 04:25:32.434136000,P90,2.05
2717,2018-03-23 04:25:35.435307700,P91,1.98
2718,2018-03-23 04:25:38.410477900,P92,1.72
2719,2018-03-23 04:25:41.104631900,P93,2.44
2720,2018-03-23 04:25:44.528827800,P94,1.95
2721,2018-03-23 04:25:47.437994200,P95,1.9
2722,2018-03-23 04:25:50.661178600,P96,2.08
2723,2018-03-23 04:25:53.695352100,P97,1.47
2724,2018-03-23 04:25:56.108490100,P98,1.96
2725,2018-03-23 04:25:59.046658200,P99,1.48
2726,2018-03-23 04:26:01.497798400,P100,1.96
2727,2018-03-23 04:26:04.634977800,P101,1.5
2728,2018-03-23 04:26:07.111119400,P102,1.51
2729,2018-03-23 04:26:09.621263000,P103,1.5
2730,2018-03-23 04:26:12.108405300,P104,2.17
2731,2018-03-23 04:26:15.228583700,P105,1.72
2732,2018-03-23 04:26:17.935738600,P106,1.48
2733,2018-03-23 04:26:20.510885900,P107,2.22
2734,2018-03-23 04:26:23.700068300,P108,1.51
2735,2018-03-23 04:26:26.187210500,P109,2.18
2736,2018-03-23 04:26:29.323389900,P110,2.64
2737,2018-03-23 04:26:32.924595900,P111,1.52
2738,2018-03-23 04:26:35.657752200,P112,3.26
2739,2018-03-23 04:26:39.926996400,P113,2.35
2740,2018-03-23 04:26:43.257186900,P114,2.46
2741,2018-03-23 04:26:46.701383900,P115,1.98
2742,2018-03-23 04:26:49.639551900,P116,1.96
2743,2018-03-23 04:26:52.747729700,P117,1.48
2744,2018-03-23 04:26:55.230871700,P118,1.97
2745,2018-03-23 04:26:58.169039800,P119,2.0
2746,2018-03-23 04:27:01.151210300,P120,2.15
2747,2018-03-23 04:27:04.245387300,P121,2.0
2748,2018-03-23 04:27:07.424569200,P122,1.49
2749,2018-03-23 04:27:09.901710800,P123,2.9
2750,2018-03-23 04:27:13.811934500,P124,1.48
2751,2018-03-23 04:27:16.266074900,P125,1.52
2752,2018-03-23 04:27:18.802219900,P126,1.49
2753,2018-03-23 04:27:21.257360400,P127,1.5
2754,2018-03-23 04:27:23.899511500,P128,1.69
2755,2018-03-23 04:27:26.532662100,P129,1.74
2756,2018-03-23 04:27:29.255817800,P130,2.22
2757,2018-03-23 04:27:32.463001300,P131,1.48
2758,2018-03-23 04:27:34.979145200,P132,2.0
2759,2018-03-23 04:27:38.177328100,P133,2.44
2760,2018-03-23 04:27:41.582522900,P134,1.94
2761,2018-03-23 04:27:44.477688500,P135,1.53
2762,2018-03-23 04:27:46.997832600,P136,1.76
2763,2018-03-23 04:27:49.700987200,P137,1.49
2764,2018-03-23 04:27:52.179129000,P138,1.91
2765,2018-03-23 04:27:55.315308400,P139,2.35
2766,2018-03-23 04:27:58.619497300,P140,1.48
2767,2018-03-23 04:28:01.113640000,P141,1.72
2768,2018-03-23 04:28:03.793793300,P142,1.73
2769,2018-03-23 04:28:06.484947200,P143,1.49
2770,2018-03-23 04:28:08.965089100,P144,2.23
2771,2018-03-23 04:28:12.171272500,P145,1.48
2772,2018-03-23 04:28:14.594411100,P146,1.95
2773,2018-03-23 04:28:17.503577500,P147,2.36
2774,2018-03-23 04:28:20.850768900,P148,1.5
2775,2018-03-23 04:28:23.327910600,P149,1.77
2776,2018-03-23 04:28:25.996063200,P150,2.48
2777,2018-03-23 04:28:29.483262700,P151,2.21
2778,2018-03-23 04:28:32.662444500,P152,1.96
2779,2018-03-23 04:28:35.594612200,P153,1.49
2780,2018-03-23 04:28:38.114756300,P154,1.97
2781,2018-03-23 04:28:41.218933900,P155,1.95
2782,2018-03-23 04:28:44.114099500,P156,1.49
2783,2018-03-23 04:28:46.550238800,P157,1.93
2784,2018-03-23 04:28:49.446404500,P158,1.72
2785,2018-03-23 04:28:52.124557700,P159,1.7
2786,2018-03-23 04:28:54.790710200,P160,1.51
2787,2018-03-23 04:28:57.285852900,P161,1.49
2788,2018-03-23 04:28:59.728992600,P162,1.55
2789,2018-03-23 04:29:02.255137100,P163,1.5
2790,2018-03-23 04:29:04.731278700,P164,1.95
2791,2018-03-23 04:29:07.655446000,P165,1.48
2792,2018-03-23 04:29:10.127587400,P166,1.49
2793,2018-03-23 04:29:12.561726600,P167,1.51
2794,2018-03-23 04:29:15.003866300,P168,1.97
2795,2018-03-23 04:29:17.906032300,P169,2.38
2796,2018-03-23 04:29:21.254223800,P170,1.96
2797,2018-03-23 04:29:24.156389800,P171,1.52
2798,2018-03-23 04:29:26.731537100,P172,2.4
2799,2018-03-23 04:29:30.076728400,P173,1.51
2800,2018-03-23 04:29:32.561870500,P174,1.95
2801,2018-03-23 04:29:35.488037900,P175,1.52
2802,2018-03-23 04:29:37.960179300,P176,2.14
2803,2018-03-23 04:29:41.082357900,P177,1.5
2804,2018-03-23 04:29:43.559499600,P178,1.5
2805,2018-03-23 04:29:46.065642900,P179,2.43
2806,2018-03-23 04:29:49.483838400,P180,1.93
2807,2018-03-23 04:29:52.395004900,P181,1.49
2808,2018-03-23 04:29:54.862146000,P182,1.52
2809,2018-03-23 04:29:57.572301100,P183,1.95
2810,2018-03-23 04:30:00.471466900,P184,1.5
2811,2018-03-23 04:30:02.954608900,P185,1.99
2812,2018-03-23 04:30:05.901777500,P186,1.98
2813,2018-03-23 04:30:08.833945200,P187,1.94
2814,2018-03-23 04:30:11.706109500,P188,1.93
2815,2018-03-23 04:30:14.589274400,P189,2.17
2816,2018-03-23 04:30:17.709452800,P190,1.97
2817,2018-03-23 04:30:20.685623100,P191,2.45
2818,2018-03-23 04:30:24.086817600,P192,1.94
2819,2018-03-23 04:30:26.986983500,P193,2.16
2820,2018-03-23 04:30:30.122162800,P194,1.98
2821,2018-03-23 04:30:33.082332100,P195,1.94
2822,2018-03-23 04:30:35.981497900,P196,2.48
2823,2018-03-23 04:30:39.407693900,P197,2.19
2824,2018-03-23 04:30:42.574875100,P198,1.93
2825,2018-03-23 04:30:45.645050700,P199,2.46
2826,2018-03-23 04:30:49.113249000,P200,2.14
2827,2018-03-23 04:30:52.229427300,P201,1.51
2828,2018-03-23 04:30:54.701568700,P202,1.93
2829,2018-03-23 04:30:57.650737300,P203,1.97
2830,2018-03-23 04:31:00.795917200,P204,2.2
2831,2018-03-23 04:31:03.982099500,P205,1.99
2832,2018-03-23 04:31:06.970270400,P206,1.99
2833,2018-03-23 04:31:09.920439100,P207,1.49
2834,2018-03-23 04:31:12.412581700,P208,1.99
2835,2018-03-23 04:31:15.364750500,P209,1.74
2836,2018-03-23 04:31:18.094906700,P210,2.57
2837,2018-03-23 04:31:21.633109100,P211,1.98
2838,2018-03-23 04:31:24.638280900,P212,2.01
2839,2018-03-23 04:31:27.666454100,P213,2.0
2840,2018-03-23 04:31:30.672626100,P214,1.57
2841,2018-03-23 04:31:33.241773000,P215,1.77
2842,2018-03-23 04:31:35.957928400,P216,1.71
2843,2018-03-23 04:31:38.658082800,P217,2.68
2844,2018-03-23 04:31:42.303291300,P218,1.48
2845,2018-03-23 04:31:44.780433000,P219,2.43
2846,2018-03-23 04:31:48.203628800,P220,1.98
2847,2018-03-23 04:31:51.145797100,P221,1.94
2848,2018-03-23 04:31:54.027961900,P222,1.98
2849,2018-03-23 04:31:56.968130100,P223,1.51
2850,2018-03-23 04:31:59.425270700,P224,1.49
2851,2018-03-23 04:32:01.909412700,P225,2.65
2852,2018-03-23 04:32:05.561621600,P226,1.99
2853,2018-03-23 04:32:08.581794400,P227,1.96
2854,2018-03-23 04:32:11.547964000,P228,1.52
2855,2018-03-23 04:32:14.074108500,P229,1.53
2856,2018-03-23 04:32:16.559250700,P230,1.95
2857,2018-03-23 04:32:19.465416900,P231,1.51
2858,2018-03-23 04:32:21.956559400,P232,2.55
2859,2018-03-23 04:32:25.521763300,P233,2.23
2860,2018-03-23 04:32:28.762948700,P234,2.03
2861,2018-03-23 04:32:31.820123500,P235,2.23
2862,2018-03-23 04:32:35.051308300,P236,2.0
2863,2018-03-23 04:32:38.065480700,P237,2.14
2864,2018-03-23 04:32:41.186659300,P238,1.05
2865,2018-03-23 04:32:43.267778300,P239,1.49
